old_id,new_id,avg_distance,n_models,persona_text
29,36,5.232292951652818,14,A science writer who relies on the geologist's knowledge and explanations for their articles
54,37,5.244019503474756,15,A massage therapist exploring the connection between breathwork and relaxation techniques
18,38,5.273696142117275,15,A high school student aspiring to become an astronaut and eagerly consumes the blogger's content for inspiration
39,39,5.282552827700593,15,A government official who consults the political scientist for expertise on crafting effective policy narratives
40,40,5.355359330795897,15,"a middle-aged public health official in the United States, skeptical of non-transparent practices and prefers data-led decision making"
62,41,5.359675929875462,15,A real estate agent who is always curious about the nomadic lifestyle of their relative
99,42,5.361211309830932,15,"A museum curator specializing in ancient civilizations, constantly providing fascinating historical anecdotes during bridge sessions"
30,43,5.371350992342079,15,A government official responsible for enforcing fair-trade regulations in the coffee industry
55,44,5.393660163171532,15,A retired financial professional reflecting on industry peers.
22,45,5.41110081490019,15,"A skilled tradesperson who provides vocational training in fields like construction, culinary arts, or automotive mechanics"
0,46,5.477511200159452,15,A product manager focused on the integration of blockchain technology in financial services
73,47,5.493268160517507,15,A Deaf teenager struggling with their identity and navigating the hearing world
65,48,5.59067802597626,15,An Italian local record shop owner and music enthusiast.
1,49,5.648034298148711,15,A hardcore Arknights fan who is always excited to introduce new anime fans to the series
16,50,5.6777932755729354,15,A critic who argues that the author's reliance on plot twists distracts from character development
17,51,5.706668225017698,15,An inspiring fifth-grade teacher who runs the after-school cooking club
37,52,5.807614268432121,15,A retired principal of a Fresh Start school in England.
66,53,5.808229746320927,15,A researcher who studies moose populations and provides insights on conservation efforts
3,54,5.815196515995561,15,a senior tour guide specialized in Himalayan flora
89,55,5.8174514752613335,15,A small business owner in the beauty industry who wants to attract a specific customer base
41,56,5.835023959656295,15,A skilled jazz pianist who enjoys the challenge of interpreting gospel music
97,57,5.847816065201882,15,A former military nurse who shares the passion for artisanal cheese and provides guidance on the business side
26,58,5.89878967853275,15,A play-by-play announcer who excels at providing captivating player background stories during golf broadcasts
9,59,5.914826020256423,15,A fellow book club member from a different country who has a completely different perspective on paranormal romance
61,60,6.013690399344191,15,A materials scientist specializing in the development of ruggedized materials for extreme conditions
34,61,6.0169334594538375,15,A dedicated chef always hunting for the perfect ingredients to improve their Mediterranean cuisine recipes
92,62,6.078338980666901,15,A doctoral student in development economics from Uganda
94,63,6.1229871649661165,15,A curriculum developer designing language courses that integrate effective pronunciation instruction
58,64,6.179848321178226,15,A marketing executive who debates about the need for less political and more lifestyle content on the blog
42,65,6.182402533389428,14,A project manager who is interested in the benefits of CSS Grid and wants guidance on implementing it in future projects
13,66,6.221281121246279,15,"I'm an ardent hipster music lover, DJ, and professional dancer based in New York City."
12,67,6.234339684005025,15,A disabled individual who relies on the services provided by Keystone Community Resources and greatly appreciates the employee's commitment and support
57,68,6.254790068720805,15,I am a history teacher from Clare with a huge interest in local sports and cultural heritage.
27,69,6.3502152414233795,15,A factory worker who is battling for compensation after being injured on the job due to negligence
67,70,6.364377833980182,15,a professional iOS developer who loathes excessive typecasting
35,71,6.488323247578486,15,A young woman who is overwhelmed with the idea of planning her own wedding
51,72,6.4946069589898086,14,a big fan of Ryota Muranishi who follows his games faithfully
93,73,6.5040277173125025,15,A mid-career Media Researcher in Ghana
83,74,6.5651343107739555,15,A local real estate expert with extensive knowledge of the ancestral lands and its economic prospects
4,75,6.620283504578471,15,An anthropologist exploring the cultural exchange between Viking and Irish communities through rituals and customs
82,76,6.712462789358709,15,a Chinese retailer who sells on eBay
44,77,6.840015300516771,14,a fangirl who has been following Elene's career from the start.
84,78,6.8433828349845784,15,A prospective music student from a small town in middle America.
56,79,6.867592931603637,15,A single mother who heavily relies on the mobile clinic for her family's healthcare needs and is grateful for the organizer's efforts
53,80,7.002504596837724,15,an ardent supporter of the different approach of politics in Greece
8,81,7.085821525650512,15,The mayor of a small town who believes that the arrival of the supermarket chain will bring economic growth and job opportunities
24,82,7.086493082857701,15,A former Miami Marlins player who played alongside Conine and formed a strong bond of camaraderie
14,83,7.34386739178089,15,a hardcore fan of the Real Salt Lake soccer team
19,84,7.42348025509863,15,an aspiring Urdu poet from India
5,85,7.554141454081301,15,A mission analyst who simulates and maps out the trajectories for space missions
74,86,7.629643578856162,15,"A lifelong resident of Mexico City, who's elder and regularly visits Plaza Insurgentes."
60,87,7.767603005289656,15,A real estate developer in Ho Chi Minh City who is always on the lookout for investment opportunities
72,88,7.7726177116467285,15,A fresh business graduate in Pakistan
86,89,7.7868180307121895,14,I am a skeptical statistician who is cautious about misinterpreting results from dimensionality reduction techniques.
88,90,7.810729766750179,15,"A nostalgic local resident from Euxton, England who has a strong sense of community."
50,91,8.10724733906382,15,A current resident of the mansion whose family has a long history with the property
81,92,8.313817453989843,15,A skeptical pastor from a neighboring congregation who disagrees with the preacher's teachings
20,93,8.744054669888163,15,A mainstream music producer who believes in sticking to industry norms and tested methods
87,94,8.80151595070261,15,a 70-year-old veteran who served at Camp Holloway
75,95,9.429517258114112,14,"an ultrAslan fan, the hardcore fan group of Galatasaray SK"
47,96,9.455371371178849,15,a resident of Torregaveta who takes local pride seriously.
45,97,9.784443946073967,15,An elderly Italian man who tends to be suspicious of modern banking tools and prefers cash transactions
76,98,9.859555025851398,15,A deeply religious family member who values their faith and seeks to share it with others
25,99,10.84221378262137,15,A traditionalist who firmly believes Christmas should be celebrated only in December
